Index Title,Top Level Index Category,Total Number of Links to Index,Word Count of Primary Version,Number of Links / Number of Words,Number of distinct texts linked to this text,Number of top-level Categories linked,Number of distinct texts linked from Tanakh,Total number of links from Tanakh,Number of distinct texts linked from Mishnah,Total number of links from Mishnah,Number of distinct texts linked from Talmud,Total number of links from Talmud,Number of distinct texts linked from Midrash,Total number of links from Midrash,Number of distinct texts linked from Halakhah,Total number of links from Halakhah,Number of distinct texts linked from Kabbalah,Total number of links from Kabbalah,Number of distinct texts linked from Liturgy,Total number of links from Liturgy,Number of distinct texts linked from Jewish Thought,Total number of links from Jewish Thought,Number of distinct texts linked from Tosefta,Total number of links from Tosefta,Number of distinct texts linked from Chasidut,Total number of links from Chasidut,Number of distinct texts linked from Musar,Total number of links from Musar,Number of distinct texts linked from Responsa,Total number of links from Responsa,Number of distinct texts linked from Second Temple,Total number of links from Second Temple,Number of distinct texts linked from Reference,Total number of links from Reference
Chiddushei Ramban on Sanhedrin,Talmud,20,7366,0.0027151778441487917,7,1,0,0,0,0,7,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chiddushei Ramban on Makkot,Talmud,74,16416,0.0045077972709551654,3,2,0,0,0,0,2,73,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chiddushei Ramban on Shevuot,Talmud,155,57448,0.002698092187717588,9,1,0,0,0,0,9,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chiddushei Ramban on Avodah Zarah,Talmud,160,50261,0.0031833827420863093,12,4,0,0,2,3,8,155,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Chiddushei Ramban on Chullin,Talmud,284,71478,0.003973250510646633,14,2,0,0,1,1,13,283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chiddushei Ramban on Niddah,Talmud,191,43319,0.004409150719084005,8,2,0,0,1,1,7,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tosafot on Berakhot,Talmud,1392,34536,0.04030576789437109,56,6,12,32,3,3,37,1344,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,2,11,0,0,0,0
Tosafot on Shabbat,Talmud,4698,132471,0.03546436578571914,82,9,25,60,4,4,43,4622,3,3,3,3,1,1,0,0,0,0,1,1,1,1,0,0,1,3,0,0,0,0
Tosafot on Eruvin,Talmud,2493,86278,0.028894967430863023,61,6,13,26,0,0,44,2463,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0
Tosafot on Pesachim,Talmud,3048,82469,0.036959342298318154,69,6,12,30,6,9,45,3002,0,0,4,4,0,0,1,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0
Tosafot on Rosh Hashanah,Talmud,994,29613,0.033566339107824264,60,5,16,59,2,2,40,929,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0
Tosafot on Yoma,Talmud,1513,79899,0.01893640721410781,52,2,11,48,0,0,41,1465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tosafot on Sukkah,Talmud,1658,53881,0.030771515005289435,60,7,14,23,2,3,40,1628,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0
Tosafot on Beitzah,Talmud,927,26439,0.03506184046295246,33,4,8,12,1,1,23,913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Tosafot on Taanit,Talmud,416,11289,0.03685003100363186,40,5,12,25,0,0,25,388,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Tosafot on Megillah,Talmud,650,15417,0.0421612505675553,54,6,17,28,1,1,33,617,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,2,0,0,0,0
Tosafot on Moed Katan,Talmud,820,20198,0.040598079017724525,44,6,11,17,2,2,28,798,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0
Tosafot on Chagigah,Talmud,689,24951,0.02761412368241754,54,5,16,39,5,6,31,642,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Tosafot on Yevamot,Talmud,3623,114912,0.03152847396268449,69,4,20,65,1,1,46,3554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0
Tosafot on Ketubot,Talmud,3936,127895,0.030775245318425272,73,5,17,49,4,4,47,3871,0,0,4,11,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Tosafot on Nedarim,Talmud,1433,50921,0.028141631154140728,32,2,10,18,0,0,22,1415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tosafot on Nazir,Talmud,1706,86376,0.019750856719459108,38,2,8,19,0,0,30,1687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tosafot on Sotah,Talmud,1020,34465,0.02959524154939794,60,4,14,33,2,2,43,984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Tosafot on Gittin,Talmud,3966,87601,0.04527345578246823,66,5,14,47,2,2,48,3915,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Tosafot on Kiddushin,Talmud,2302,70659,0.032579006212938195,78,6,22,90,11,15,42,2192,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2
Tosafot on Bava Kamma,Talmud,5252,117901,0.04454584778755057,72,6,15,59,5,6,48,5179,0,0,2,6,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0
Tosafot on Bava Metzia,Talmud,4143,105202,0.03938138058211821,64,5,12,33,5,6,44,4100,0,0,2,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Tosafot on Bava Batra,Talmud,4014,144650,0.027749740753543035,78,5,20,53,8,12,48,3947,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Tosafot on Sanhedrin,Talmud,1829,55901,0.032718556018675876,62,4,18,66,1,1,42,1761,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tosafot on Makkot,Talmud,438,15680,0.027933673469387754,25,4,1,1,0,0,22,435,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Tosafot on Shevuot,Talmud,1468,44965,0.03264761481152007,51,3,12,28,0,0,38,1436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0
Tosafot on Avodah Zarah,Talmud,1892,85318,0.0221758597247943,73,6,20,46,6,7,42,1832,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,1
Tosafot on Horayot,Talmud,75,2829,0.026511134676564158,6,1,0,0,0,0,6,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tosafot on Zevachim,Talmud,2282,116349,0.019613404498534583,52,4,10,32,1,2,40,2246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0
Tosafot on Menachot,Talmud,2496,103690,0.024071752338701898,69,7,14,92,5,5,46,2392,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,4,0,0,1,1
Tosafot on Chullin,Talmud,2745,129108,0.021261269634724418,61,7,11,17,1,1,43,2716,1,1,3,3,1,1,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0
Tosafot on Bekhorot,Talmud,1086,58499,0.018564419904613754,32,5,7,10,0,0,22,1070,0,0,1,1,0,0,1,1,0,0,1,4,0,0,0,0,0,0,0,0,0,0
Tosafot on Arakhin,Talmud,510,24761,0.020596906425427084,13,2,2,2,0,0,11,508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tosafot on Temurah,Talmud,368,24792,0.01484349790254921,12,3,2,5,1,1,9,362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tosafot on Keritot,Talmud,189,8897,0.021243115656963022,11,2,3,3,0,0,8,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tosafot on Meilah,Talmud,418,24314,0.017191741383565023,13,2,4,5,0,0,9,413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tosafot on Niddah,Talmud,1646,65102,0.025283401431599642,32,3,4,4,0,0,27,1641,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rif Berakhot,Talmud,2482,26652,0.09312621942068137,60,4,22,166,0,0,21,1543,0,0,16,771,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0
Rif Shabbat,Talmud,5405,47712,0.11328386988598256,80,5,23,177,1,1,28,4327,0,0,27,897,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0
Rif Eruvin,Talmud,2181,20426,0.10677567805737785,37,4,10,19,0,0,12,1856,0,0,14,305,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Rif Pesachim,Talmud,1460,14506,0.10064800772094305,55,5,16,67,1,1,20,1031,0,0,17,360,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Rif Rosh Hashanah,Talmud,608,5208,0.11674347158218126,46,4,21,50,0,0,13,454,0,0,11,103,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Rif Yoma,Talmud,405,4074,0.09941089837997054,33,3,17,59,0,0,9,287,0,0,7,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rif Sukkah,Talmud,1037,8295,0.1250150693188668,29,3,13,27,0,0,14,851,0,0,2,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rif Beitzah,Talmud,1354,10997,0.12312448849686278,30,4,8,17,0,0,13,1041,0,0,8,295,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Rif Ta'anit,Talmud,574,6246,0.09189881524175472,39,3,21,39,0,0,12,415,0,0,6,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rif Megillah,Talmud,1114,9292,0.11988807576409814,29,3,0,0,0,0,19,858,0,0,9,255,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Rif Moed Katan,Talmud,1518,12661,0.11989574283231973,53,4,25,73,0,0,16,1073,0,0,11,371,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Rif Yevamot,Talmud,2950,35549,0.08298405018425273,55,3,18,98,0,0,19,2476,0,0,18,376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rif Ketubot,Talmud,3943,39181,0.1006355121104617,63,4,13,37,0,0,19,2875,0,0,30,1030,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Rif Nedarim,Talmud,558,16693,0.03342718504762475,2,1,0,0,0,0,2,558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rif Gittin,Talmud,2703,20848,0.1296527244819647,54,3,12,28,0,0,16,2021,0,0,26,654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rif Kiddushin,Talmud,1856,14929,0.12432178980507737,52,4,16,69,1,1,14,1309,0,0,21,477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rif Bava Kamma,Talmud,3425,27519,0.12445946437007159,62,3,12,68,0,0,21,2310,0,0,29,1047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rif Bava Metzia,Talmud,5362,50256,0.10669372811206622,68,5,14,118,1,1,20,3686,0,0,32,1556,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Rif Bava Batra,Talmud,5098,51085,0.09979446021336988,76,3,23,63,0,0,23,3234,0,0,30,1801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rif Sanhedrin,Talmud,1173,13320,0.08806306306306307,66,3,22,105,0,0,22,752,0,0,22,316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rif Makkot,Talmud,307,3237,0.09484090206981773,26,3,4,19,0,0,11,197,0,0,11,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rif Shevuot,Talmud,1422,16924,0.08402268967147246,56,4,14,57,3,5,23,954,0,0,16,406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rif Avodah Zarah,Talmud,1748,13391,0.13053543424688224,44,5,13,43,1,1,14,1308,0,0,15,394,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0
Rif Halakhot Ketanot (Menachot),Talmud,1066,9604,0.1109954185755935,41,5,14,47,1,4,21,815,0,0,4,197,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0
Rif Chullin,Talmud,2781,22478,0.12372097161669188,39,4,13,65,0,0,15,2087,0,0,10,625,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0
HaMaor HaGadol on Avodah Zarah,Talmud,28,2570,0.010894941634241245,4,1,0,0,0,0,4,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HaMaor HaGadol on Bava Batra,Talmud,103,19224,0.005357885975863504,4,1,0,0,0,0,4,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HaMaor HaGadol on Bava Kamma,Talmud,103,11669,0.008826806067357957,4,1,0,0,0,0,4,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HaMaor HaGadol on Bava Metzia,Talmud,125,12031,0.010389826282104563,4,1,0,0,0,0,4,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HaMaor HaGadol on Gittin,Talmud,54,7017,0.007695596408721676,4,1,0,0,0,0,4,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HaMaor HaGadol on Ketubot,Talmud,87,6851,0.012698876076485184,4,1,0,0,0,0,4,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HaMaor HaGadol on Kiddushin,Talmud,43,1985,0.021662468513853905,4,1,0,0,0,0,4,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HaMaor HaGadol on Makkot,Talmud,14,2004,0.006986027944111776,3,1,0,0,0,0,3,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HaMaor HaGadol on Sanhedrin,Talmud,65,7826,0.008305647840531562,4,1,0,0,0,0,4,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HaMaor HaGadol on Shevuot,Talmud,47,7201,0.006526871267879461,4,1,0,0,0,0,4,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HaMaor HaGadol on Sotah,Talmud,0,764,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HaMaor HaGadol on Yevamot,Talmud,83,7770,0.010682110682110682,4,1,0,0,0,0,4,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HaMaor HaKatan on Beitzah,Talmud,127,8372,0.015169612995699952,5,1,0,0,0,0,5,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HaMaor HaKatan on Berakhot,Talmud,85,5523,0.01539018649284809,4,1,0,0,0,0,4,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HaMaor HaKatan on Chagigah,Talmud,0,418,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HaMaor HaKatan on Chullin,Talmud,129,18754,0.006878532579716328,5,2,0,0,0,0,4,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
HaMaor HaKatan on Eruvin,Talmud,161,13368,0.012043686415320167,4,1,0,0,0,0,4,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HaMaor HaKatan on Megillah,Talmud,18,2066,0.008712487899322363,5,1,0,0,0,0,5,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HaMaor HaKatan on Moed Katan,Talmud,17,2292,0.007417102966841187,4,1,0,0,0,0,4,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HaMaor HaKatan on Pesachim,Talmud,142,14917,0.009519340349936314,6,2,0,0,0,0,5,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
HaMaor HaKatan on Rosh Hashanah,Talmud,42,10024,0.004189944134078212,5,2,0,0,0,0,4,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
HaMaor HaKatan on Shabbat,Talmud,210,28636,0.007333426456208968,4,1,0,0,0,0,4,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HaMaor HaKatan on Sukkah,Talmud,105,6730,0.015601783060921248,5,1,0,0,0,0,5,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HaMaor HaKatan on Taanit,Talmud,11,610,0.018032786885245903,4,1,0,0,0,0,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HaMaor HaKatan on Yoma,Talmud,17,1604,0.01059850374064838,3,1,0,0,0,0,3,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Introdution to HaMaor,Talmud,0,1352,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chiddushei Anshei Shem on Berakhot,Talmud,83,3493,0.023761809332951616,2,1,0,0,0,0,2,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chiddushei Anshei Shem on Bava Metzia,Talmud,117,8303,0.014091292303986511,2,1,0,0,0,0,2,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chiddushei Anshei Shem on Shevuot,Talmud,39,1794,0.021739130434782608,2,1,0,0,0,0,2,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chiddushei Anshei Shem on Chullin,Talmud,46,2976,0.015456989247311828,2,1,0,0,0,0,2,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chiddushei Anshei Shem on Taanit,Talmud,12,736,0.016304347826086956,2,1,0,0,0,0,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chiddushei Anshei Shem on Menachot,Talmud,16,967,0.016546018614270942,2,1,0,0,0,0,2,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chiddushei Anshei Shem on Avodah Zarah,Talmud,31,1352,0.022928994082840236,2,1,0,0,0,0,2,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chiddushei Anshei Shem on Shabbat,Talmud,17,1417,0.011997177134791814,2,1,0,0,0,0,2,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chiddushei Anshei Shem on Eruvin,Talmud,12,582,0.020618556701030927,2,1,0,0,0,0,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chiddushei Anshei Shem on Yoma,Talmud,0,204,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chiddushei Anshei Shem on Bava Batra,Talmud,99,5777,0.017136922277998963,2,1,0,0,0,0,2,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chiddushei Anshei Shem on Gittin,Talmud,39,1442,0.027045769764216365,3,1,0,0,0,0,3,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chiddushei Anshei Shem on Bava Kamma,Talmud,123,8095,0.01519456454601606,2,1,0,0,0,0,2,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chiddushei Anshei Shem on Megillah,Talmud,10,560,0.017857142857142856,2,1,0,0,0,0,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chiddushei Anshei Shem on Beitzah,Talmud,6,228,0.02631578947368421,2,1,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chiddushei Anshei Shem on Rosh Hashanah,Talmud,5,204,0.024509803921568627,2,1,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chiddushei Anshei Shem on Ketubot,Talmud,63,2470,0.025506072874493926,2,1,0,0,0,0,2,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chiddushei Anshei Shem on Moed Katan,Talmud,9,531,0.01694915254237288,2,1,0,0,0,0,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chiddushei Anshei Shem on Sukkah,Talmud,11,544,0.02022058823529412,2,1,0,0,0,0,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chiddushei Anshei Shem on Makkot,Talmud,6,466,0.012875536480686695,2,1,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chiddushei Anshei Shem on Kiddushin,Talmud,33,1463,0.022556390977443608,2,1,0,0,0,0,2,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chiddushei Anshei Shem on Sanhedrin,Talmud,24,1271,0.01888276947285602,2,1,0,0,0,0,2,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chiddushei Anshei Shem on Pesachim,Talmud,35,2321,0.015079707022834985,2,1,0,0,0,0,2,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chiddushei Anshei Shem on Yevamot,Talmud,116,7036,0.01648664013644116,3,2,0,0,0,0,2,115,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ha'atakat Teshuvat HaRif on Shevuot,Talmud,0,1993,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ha'atakat Teshuvat HaRif on Ketubot,Talmud,0,7383,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hagahot Chavot Yair on Beitzah,Talmud,29,447,0.06487695749440715,1,1,0,0,0,0,1,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hagahot Chavot Yair on Avodah Zarah,Talmud,36,754,0.04774535809018567,1,1,0,0,0,0,1,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hagahot Chavot Yair on Gittin,Talmud,66,1061,0.06220546654099906,2,1,0,0,0,0,2,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hagahot Chavot Yair on Berakhot,Talmud,29,280,0.10357142857142858,1,1,0,0,0,0,1,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hagahot Chavot Yair on Kiddushin,Talmud,55,1097,0.05013673655423884,2,1,0,0,0,0,2,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hagahot Chavot Yair on Yoma,Talmud,8,94,0.0851063829787234,2,1,0,0,0,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hagahot Chavot Yair on Megillah,Talmud,14,287,0.04878048780487805,1,1,0,0,0,0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hagahot Chavot Yair on Taanit,Talmud,8,115,0.06956521739130435,2,1,0,0,0,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hagahot Chavot Yair on Bava Kamma,Talmud,169,2720,0.06213235294117647,2,1,0,0,0,0,2,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hagahot Chavot Yair on Shabbat,Talmud,126,1511,0.08338848444738584,2,1,0,0,0,0,2,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hagahot Chavot Yair on Sanhedrin,Talmud,34,409,0.08312958435207823,1,1,0,0,0,0,1,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hagahot Chavot Yair on Menachot,Talmud,18,263,0.06844106463878327,2,1,0,0,0,0,2,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hagahot Chavot Yair on Pesachim,Talmud,26,240,0.10833333333333334,1,1,0,0,0,0,1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hagahot Chavot Yair on Shevuot,Talmud,31,635,0.048818897637795275,1,1,0,0,0,0,1,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hagahot Chavot Yair on Sukkah,Talmud,14,176,0.07954545454545454,1,1,0,0,0,0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hagahot Chavot Yair on Bava Batra,Talmud,211,4907,0.042999796209496635,2,1,0,0,0,0,2,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hagahot Chavot Yair on Rosh Hashanah,Talmud,6,80,0.075,1,1,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hagahot Chavot Yair on Eruvin,Talmud,77,1364,0.056451612903225805,1,1,0,0,0,0,1,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hagahot Chavot Yair on Ketubot,Talmud,95,1263,0.07521773555027712,3,1,0,0,0,0,3,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hagahot Chavot Yair on Bava Metzia,Talmud,321,6219,0.05161601543656536,2,1,0,0,0,0,2,321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hagahot Chavot Yair on Moed Katan,Talmud,25,472,0.05296610169491525,2,1,0,0,0,0,2,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hagahot Chavot Yair on Chullin,Talmud,38,639,0.0594679186228482,2,1,0,0,0,0,2,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hagahot Chavot Yair on Makkot,Talmud,2,148,0.013513513513513514,1,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
