אתונה,"(37.972819149999985, 23.723743849999998)",9885. תוקידידס המלחמה הפלופונסית 1.77
אתונה,"(37.972819149999985, 23.723743849999998)",9884. תוקידידס המלחמה הפלופונסית 1.52
אתונה,"(37.972819149999985, 23.723743849999998)",9881. תוקידידס המלחמה הפלופונסית 1.45
אתונה,"(37.972819149999985, 23.723743849999998)",9879. תוקידידס המלחמה הפלופונסית 1.14
אתונה,"(37.972819149999985, 23.723743849999998)",9821. אפלטון המדינה 4.425a
אתונה,"(37.972819149999985, 23.723743849999998)",9819. אפלטון על החוקים 6.753a
אתונה,"(37.972819149999985, 23.723743849999998)",9817. אפלטון על החוקים 10.886b
אתונה,"(37.972819149999985, 23.723743849999998)",9816. אפלטון המדינה 4.426c
אתונה,"(37.972819149999985, 23.723743849999998)",9815. אפלטון המדינה 4.425d
אתונה,"(37.972819149999985, 23.723743849999998)",9813. אפלטון על החוקים 3.698d
אתונה,"(37.972819149999985, 23.723743849999998)",9812. אפלטון על החוקים 7.789b
אתונה,"(37.972819149999985, 23.723743849999998)",9811. אפלטון על החוקים 1.643a
אתונה,"(37.972819149999985, 23.723743849999998)",9810. אפלטון על החוקים 1.642d
אתונה,"(37.972819149999985, 23.723743849999998)",9809. אפלטון על החוקים 1.642b
אתונה,"(37.972819149999985, 23.723743849999998)",9808. אפלטון על החוקים 1.626d
אתונה,"(37.972819149999985, 23.723743849999998)",9806. פאוסניאס תיאור יוון 9.24
אתונה,"(37.972819149999985, 23.723743849999998)",9804. פאוסניאס תיאור יוון 8.37
אתונה,"(37.972819149999985, 23.723743849999998)",9803. פאוסניאס תיאור יוון 8.39
אתונה,"(37.972819149999985, 23.723743849999998)",9802. פאוסניאס תיאור יוון 8.2
אתונה,"(37.972819149999985, 23.723743849999998)",9801. פאוסניאס תיאור יוון 2.14
אתונה,"(37.972819149999985, 23.723743849999998)",9799. פאוסניאס תיאור יוון 1.38
אתונה,"(37.972819149999985, 23.723743849999998)",9649. אודיסיאה 11.321
אתונה,"(37.972819149999985, 23.723743849999998)",9648. אודיסיאה 7.77
אתונה,"(37.972819149999985, 23.723743849999998)",9647. הרודטוס ספרי ההסטוריה 9.116
אתונה,"(37.972819149999985, 23.723743849999998)",9646. הרודטוס ספרי ההסטוריה 9.99
אתונה,"(37.972819149999985, 23.723743849999998)",9645. הרודטוס ספרי ההסטוריה 9.73
אתונה,"(37.972819149999985, 23.723743849999998)",9644. הרודטוס ספרי ההסטוריה 8.68A
אתונה,"(37.972819149999985, 23.723743849999998)",9643. הרודטוס ספרי ההסטוריה 9.45
אתונה,"(37.972819149999985, 23.723743849999998)",9642. הרודטוס ספרי ההסטוריה 9.60
אתונה,"(37.972819149999985, 23.723743849999998)",9641. הרודטוס ספרי ההסטוריה 9.32
אתונה,"(37.972819149999985, 23.723743849999998)",9640. הרודטוס ספרי ההסטוריה 9.21
אתונה,"(37.972819149999985, 23.723743849999998)",9639. הרודטוס ספרי ההסטוריה 9.8
אתונה,"(37.972819149999985, 23.723743849999998)",9638. הרודטוס ספרי ההסטוריה 9.4
אתונה,"(37.972819149999985, 23.723743849999998)",9637. הרודטוס ספרי ההסטוריה 8.141
אתונה,"(37.972819149999985, 23.723743849999998)",9636. הרודטוס ספרי ההסטוריה 8.140A
אתונה,"(37.972819149999985, 23.723743849999998)",9635. הרודטוס ספרי ההסטוריה 8.120
אתונה,"(37.972819149999985, 23.723743849999998)",9634. הרודטוס ספרי ההסטוריה 8.118
אתונה,"(37.972819149999985, 23.723743849999998)",9633. הרודטוס ספרי ההסטוריה 8.100
אתונה,"(37.972819149999985, 23.723743849999998)",9632. הרודטוס ספרי ההסטוריה 8.102
אתונה,"(37.972819149999985, 23.723743849999998)",9631. הרודטוס ספרי ההסטוריה 8.99
אתונה,"(37.972819149999985, 23.723743849999998)",9630. הרודטוס ספרי ההסטוריה 8.93
אתונה,"(37.972819149999985, 23.723743849999998)",9629. הרודטוס ספרי ההסטוריה 8.79
אתונה,"(37.972819149999985, 23.723743849999998)",9628. הרודטוס ספרי ההסטוריה 8.77
אתונה,"(37.972819149999985, 23.723743849999998)",9627. הרודטוס ספרי ההסטוריה 8.67
אתונה,"(37.972819149999985, 23.723743849999998)",9626. הרודטוס ספרי ההסטוריה 8.68B
אתונה,"(37.972819149999985, 23.723743849999998)",9625. הרודטוס ספרי ההסטוריה 8.61
אתונה,"(37.972819149999985, 23.723743849999998)",9624. הרודטוס ספרי ההסטוריה 8.48
אתונה,"(37.972819149999985, 23.723743849999998)",9623. הרודטוס ספרי ההסטוריה 8.51
אתונה,"(37.972819149999985, 23.723743849999998)",9622. הרודטוס ספרי ההסטוריה 8.54
אתונה,"(37.972819149999985, 23.723743849999998)",9621. הרודטוס ספרי ההסטוריה 7.8
אתונה,"(37.972819149999985, 23.723743849999998)",9620. הרודטוס ספרי ההסטוריה 8.34
