Ref 1,Ref 2,Found a Better Match?,New Match Ref 1,New Match Ref 2
Rashi on Niddah 24a:62:1,Chullin 69a:2,disambiguator found a better match,Rashi on Niddah 24a:18:1,Chullin 69a:2
Tosafot on Niddah 27a:15:1,Yevamot 80b:2,disambiguator found a better match,Tosafot on Niddah 27a:5:1,Yevamot 80b:2
Tosafot on Niddah 32a:41:1,Sukkah 28a:10,disambiguator found a better match,Tosafot on Niddah 32a:14:1,Sukkah 28a:10
Tosafot on Niddah 49b:34:1,Gittin 88b:10,disambiguator found a better match,Tosafot on Niddah 49b:17:1,Gittin 88b:10
Tosafot on Niddah 49b:34:1,Shevuot 30a:1,disambiguator found a better match,Tosafot on Niddah 49b:17:1,Shevuot 30a:1
Tosafot on Bekhorot 10a:6:1,Pesachim 24b:11,disambiguator found a better match,Tosafot on Bekhorot 10a:2:1,Pesachim 24b:11
Tosafot on Bekhorot 10a:6:1,Pesachim 24a:2,disambiguator found a better match,Tosafot on Bekhorot 10a:2:1,Pesachim 24a:2
Tosafot on Bekhorot 10a:6:1,Chullin 68a:1,disambiguator found a better match,Tosafot on Bekhorot 10a:2:1,Chullin 68a:1
Tosafot on Bekhorot 10a:6:1,Chullin 85a:16,disambiguator found a better match,Tosafot on Bekhorot 10a:2:1,Chullin 85a:16
Tosafot on Bekhorot 9b:4:1,Chullin 70a:15,disambiguator found a better match,Tosafot on Bekhorot 9b:2:1,Chullin 70a:15
Tosafot on Niddah 32a:27:1,Pesachim 24b:6,disambiguator found a better match,Tosafot on Niddah 32a:9:2,Pesachim 24b:6
Tosafot on Niddah 32a:27:1,Shabbat 86a:2,disambiguator found a better match,Tosafot on Niddah 32a:9:2,Shabbat 86a:2
Rashi on Berakhot 42a:2:4,Berakhot 20b:15,disambiguator found a better match,Rashi on Berakhot 42a:2:3,Berakhot 20b:15
Tosafot on Temurah 14b:51:1,Pesachim 38b:10,disambiguator found a better match,Tosafot on Temurah 14b:21:1,Pesachim 38b:10
"Likutei Moharan, Part II 96:2",Berakhot 21a:13,disambiguator found no match
Rosh on Beitzah 2:30:2,Shabbat 95a:2,disambiguator found a better match,Rosh on Beitzah 2:24:1,Shabbat 95a:2
Rosh on Beitzah 2:30:2,Shabbat 124b:7,disambiguator found a better match,Rosh on Beitzah 2:21:2,Shabbat 124b:7
Tosafot on Bekhorot 50b:25:1,Ketubot 67a:11,disambiguator found a better match,Tosafot on Bekhorot 50b:8:1,Ketubot 67a:11
Tosafot on Bekhorot 50b:25:1,Bava Kamma 90a:13,disambiguator found a better match,Tosafot on Bekhorot 50b:8:1,Bava Kamma 90a:13
Tosafot on Bekhorot 50b:25:1,Ketubot 64b:4,disambiguator found a better match,Tosafot on Bekhorot 50b:8:1,Ketubot 64b:4
Tosafot on Bekhorot 27a:15:1,Chullin 133a:10,disambiguator found a better match,Tosafot on Bekhorot 27a:6:2,Chullin 133a:10
Tosafot on Bekhorot 54b:8:1,Pesachim 18b:10,disambiguator found a better match,Tosafot on Bekhorot 54b:2:1,Pesachim 18b:10
Rashi on Bekhorot 60a:20:1,Nazir 32a:9,disambiguator found a better match,Rashi on Bekhorot 60a:7:1,Nazir 32a:9
Tosafot on Bekhorot 43b:66:2,Sanhedrin 104b:4,disambiguator found a better match,Tosafot on Bekhorot 43b:17:2,Sanhedrin 104b:4
Tosafot on Bekhorot 45b:83:1,Gittin 35b:4,disambiguator found a better match,Tosafot on Bekhorot 45b:19:2,Gittin 35b:4
Tosafot on Bekhorot 35a:39:1,Temurah 24b:5-6,disambiguator found a better match,Tosafot on Bekhorot 35a:14:2,Temurah 24b:5-6
Tosafot on Bekhorot 35a:39:1,Sanhedrin 32a:11,disambiguator found a better match,Tosafot on Bekhorot 35a:14:2,Sanhedrin 32a:11
