Notes,Name,Match Name 1 corrected,Match Name En,Match Name 1,Match Name 2,Match Name 3,Match Name 4,Match Name 5,Match Name 6,Match Name 7,Match Name 8,Match Name 9,Match Name 10,Match Name 11,Match Name 12,Match Name 13,Match Name 14,Match Name 15,Match URL 1,Match URL 2,Match URL 3,Match URL 4,Match URL 5,Match URL 6,Match URL 7,Match URL 8,Match URL 9,Match URL 10,Match URL 11,Match URL 12,Match URL 13,Match URL 14,Match URL 15
,רבי חנינה בן תרדיון,,Rabbi Hananyah b. Teradyon,רבי חנניה בן תרדיון,,,,,,,,,,,,,,,https://www.sefaria.org.il/person/Rabbi%20Hananyah%20b.%20Teradyon,,,,,,,,,,,,,,
,בבא בן בוטא,,Bava b. Buta,בבא בן בוטא,,,,,,,,,,,,,,,https://www.sefaria.org/person/Bava%20b.%20Buta,,,,,,,,,,,,,,
,רבי יוחנן בן תורתה,,Rabbi Yohanan b. Torta,רבי יוחנן בן תורתא,,,,,,,,,,,,,,,https://www.sefaria.org/person/Rabbi%20Yohanan%20b.%20Torta,,,,,,,,,,,,,,
,רבי זכאי,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,רבן יוחנן בן זכאי,,Rabbi Yohanan b. Zakkai,רבן יוחנן בן זכאי‎,,,,,,,,,,,,,,,https://www.sefaria.org/person/Rabbi%20Yohanan%20b.%20Zakkai,,,,,,,,,,,,,,
,ר פפייס,,Rabbi Pappeyas,רבי פפייס,,,,,,,,,,,,,,,https://www.sefaria.org/person/Rabbi%20Pappeyas,,,,,,,,,,,,,,
,רבי ראובן בן איסטרובלי,,Rabbi Reuven b. Itztrobeli,רבי ראובן בן אצטרובילי,,,,,,,,,,,,,,,https://www.sefaria.org/person/Rabbi%20Reuven%20b.%20Itztrobeli,,,,,,,,,,,,,,
,חוני המעגל,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,רבי שמעון בן חלפתא,,Shimon b. Halafta,שמעון בן חלפתא,,,,,,,,,,,,,,,https://www.sefaria.org/person/Shimon%20b.%20Halafta,,,,,,,,,,,,,,
,רבי חנינא בן דוסא,,Rabbi Hanina b. Dosa,רבי חנינא בן דוסא,,,,,,,,,,,,,,,https://www.sefaria.org/person/Rabbi%20Hanina%20b.%20Dosa,,,,,,,,,,,,,,
,ר יוסי בן דורמסקית,,Rabbi Yose b. Dormasqit,רבי יוסי בן דורמסקית,,,,,,,,,,,,,,,https://www.sefaria.org/person/Rabbi%20Yose%20b.%20Dormasqit,,,,,,,,,,,,,,
,בנימין הצדיק,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,חוצפית המתורגמן,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ר יהודה,,Rabbi Yehudah b. R' II'ai,רבי יהודה ברבי אילעאי,,,,,,,,,,,,,,,https://www.sefaria.org/person/Rabbi%20Yehudah%20b.%20R'%20II'ai,,,,,,,,,,,,,,
,יוחנן כהן גדול,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,רבי פנחס בר ערובא,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,הורקנוס רבי אליעזר,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,רבי עקיבא,,Rabbi Akiva,רבי עקיבא,,,,,,,,,,,,,,,https://www.sefaria.org/person/Rabbi%20Akiva,,,,,,,,,,,,,,
,יוסי בן סימאי,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,רבי נחוניא בן הקנה,,Rabbi Nehunya b. haKanah,רבי נחוניה בן הקנה,,,,,,,,,,,,,,,https://www.sefaria.org/person/Rabbi%20Nehunya%20b.%20haKanah,,,,,,,,,,,,,,
,ברוריה,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,איסי בר יהודה,,Issi b. Yehudah,איסי בן יהודה,,,,,,,,,,,,,,,https://www.sefaria.org/person/Issi%20b.%20Yehudah,,,,,,,,,,,,,,
,רבן גמליאל,,Rabban Gamliel,רבן גמליאל דיבנה,,,,,,,,,,,,,,,https://www.sefaria.org/person/Rabban%20Gamliel%20(I)%20haZaken,https://www.sefaria.org/person/Rabban%20Gamliel%20(II)%20of%20Yavneh,,,,,,,,,,,,,
,אחר אלישע בן אבויה,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,אבא חלקיה,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ר יהושע בן ר עקיבא,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,רבי שמעון בן יוחאי,,Rabbi Shimon b. Yohai,רבי שמעון בר יוחאי,,,,,,,,,,,,,,,https://www.sefaria.org/person/Rabbi%20Shimon%20b.%20Yohai,,,,,,,,,,,,,,
,רבי יהודה בן בבא,,Rabbi Yehudah b. Bava,רבי יהודה בן בבא,,,,,,,,,,,,,,,https://www.sefaria.org/person/Rabbi%20Yehudah%20b.%20Bava,,,,,,,,,,,,,,
