Topic,English description,Is A Type Of,Is a Type Of (2),Final Topic Name,Final English Translation,Final English Transliteration,Is Translation from External Source,According to:,Additional sources (please use link to Sefaria segment and list multiple sources separated by comma),,,Is Paren Good Description
שבת נר,candles for Shabbos,halachic role of inanimate object,,נר שבת,Shabbat Candles (Lights),,,,,,,
שבת נשמה יתרה,extra degree of soul on Shabbos,theology,,נשמה יתרה,The Additional Soul (One Acquires on Shabbat),,,,,,,
שבת סעודה,Shabbos meals,halachic process,,סעודת שבת,The Shabbat Meals,,,,,,,
שבת ערב,eve of Shabbos,span of time,,ערב שבת,The Eve of Shabbat,,,,,,,
שבת קדוש והבדלה,kiddush and havdallah,halachic process,,קדוש והבדלה,Kiddush and Havdalah,,,,,,,
שבת שובה,Shabbos shuvah,day,,שבת שובה,Shabbat Shuvah (Shabbat of Repentance between Rosh Hashanah and Yom Kippur),,,,,,,y
שבת תוספות,adding to Shabbos,halachic process,,תוספת שבת,The Addition [of Time] to Shabbat,,,,,,,
שבת תחום,walking boundaries on Shabbos,continuant fiat boundary,,תחום שבת,The Shabbat Perimeter (Within Which it is Permissible to Walk),,,,,,,y
שבת הגדול,Shabbos hagadol,day,,שבת הגדול,Shabbat Hagadol (the Shabbat before Passover),,,,,,,
שבת,,holiday,,שבת,Shabbat,,,,,,,
שבתאי,one of the constellations/planets,inanimate object,,שבתאי,[The Constellation of] Saturn,,,,,,,
שבתון,rest/time away,process,,שבתון,A Period of Rest,,,,,,,
שגג,mistake/forgetting,process,,שגג,To Err,,,,,,,
שגוב,,biblical person,,שגוב,,Seguv,,,,,,
שגל,queen/mistress,occupation,,שגל,A Queen,,,Rosh Hashanah 4a,Psalms 45:10,,,
שגר,offspring,quality,,שגר,Issue (Young),,,,Exodus 13:12,,,
שד,demon/harmful spirit,spiritual entity,,שד,A Demon,,,,,,,
שדה,field,geographic feature,,שדה,A Field,,,,,,,
שדוך,arrangement (esp. for marriage),process,,שדוך,Wedding Arrangements (esp. Matchmaking),,,,,,,
שה,sheep,mammal,,שה,A Sheep,,,,,,,
שהם,type of stone,inanimate object,,שהם,Lapis Lazuli,,,,,,,
שוא,vanity/false,quality,,שוא,Untrue,,,,Exodus 23:1,,,
שואה,desolation/tumult,process,,שואה,Desolation,,,,,,,
שואל,borrower,halachic role of person,,שואל,A Borrower,,,,,,,
שוב,return,process,,שוב,To Return,,,,,,,
שובה,quietude,quality,,שובה,Quietude,,,,Isaiah 30:15,,,
שובך,,biblical person,,שובך,,Shovach,,,,,,
שוגג,mistake/forgetting,process,,שוגג,Error,,,,,,,
שוח,praying,process,,שוח,To Pray,,,,Genesis 24:63,,,
שוחד,bribe,process,,שוחד,Bribe,,,,,,,
שוטה,person with psychotic behavior,quality,,שוטה,Mentally Handicapped Person,,,,,,,
שוטר,officer,occupation,,שוטר,An Officer,,,,,,,
שוכר,renter,halachic role of person,,שוכר,A Renter,,,,,,,
שולחן,table,inanimate object,,שולחן,A Table,,,,,,,
שולל,lacking sanity/clothing,quality,,שולל,A Crazy Person,,,Rashi,Micah 1:8,,,
שולמית,nation of wholeness/peace,character trait,,שולמית,"A Shulamite (A Reference to Israel, a Nation at Peace)",,,Shir HaShirim Rabbah,Song of Songs 7:1,,,y
שום,garlic,food,,שום,Garlic,,,,,,,
שומן,fat/richness,inanimate object,,שומן,Fat,,,,,,,
שומר הסף,caretaker/guard,occupation,,שומרי הסף,Entrance Guards,,,,,,,
שומרון,,geographic site,,שומרון,Samaria,Shomron,,,,,,
שומרונים,,group of people,,שומרונים,Samaritans,,,,,,,
שומרים,types of leases/watching agreements,halachic role of person,,שומרים,Guardians,,,,,,,
שונא,hatred/dislike,emotion,,שונא,To Hate,,,,,,,
שונמית,,biblical person,,שונמית,A Shunammite,,,,,,,
שוע,giver/generous person,character trait,,שוע,A Giving Person,,,,Isaiah 32:5,,,
שועה,plea,process,,שועה,A Plea,,,,,,,
שועל,fox,mammal,,שועל,A Fox,,,,,,,
שופט,judge,occupation,,שופט,A Judge,,,,,,,
שופר שופרות,shofar/trumpet,inanimate object,,שופר,A Shofar (Horn),,,,,,,
שור בהמה,ox,mammal,,שור,An Ox,,,,,,,
שור ראה,see/lookout,process,,לשור,To Scout Out,,,Malbim,Numbers 23:9,,,
שור הבר,the wild ox,mammal,,שור הבר,The Wild Ox (Destined to be Eaten at the End of Days),,,,,,,y
שורר,scrutinize/stalk,process,,שורר,To Rule,,,,,,,
שורש,root/source,object,,שורש,A Root,,,,,,,
שושבין,assistance/giving opportunity,role,,שושבין,An Aid (Especially for a Groom),,,,,,,y
שושן,,geographic site,,שושן,Susa,Shushan,,,,,,
שושנה,type of flower,plant,,שושנה,A Lily,,,,,,,
שושנים,type of instrument/music,inanimate object,,שושנים, A Type of Musical Instrument ,,,,,,,
שותף שותפות,partner,role of person,,שותפות,Partnership,,,,,,,
שחוק,joke/laughter,process,,שחוק,Laughter,,,,,,,
שחור,black,color,,שחור,Black,,,,,,,
שחי,armpit,body part,,שחי,Armpit,,,,,,,
שחיטה,slaughter,halachic process,,שחיטה,Ritual Slaughter,,,,,,,
שחין,boils,process,,שחין,Boils,,,,,,,
שחל,young lion,mammal,,שחל,A Young Lion,,,,,,,
שחפת,inflammation,process,,שחפת,Consumption (Illness),,,,,,,
שחקים,high atmosphere/clouds/heavens,geographic site,,שחקים,Clouds or Heavens,,,,,,,
שחר בקר,early morning,part of a day,,שחר,(Early) Morning,,,,,,,
שחר שחרה,seeking,process,,שיחור,Seeking,,,,,,,
שחת שחת,pit/waste/trap,process,inanimate object,השחתה,Destruction or Corruption,,,,,,,
שטים דור המדבר,,geographic site,,שטים,,Shitim,,,,,,
שטים משכן,type of tree used in mishkan,plant,,עצי שיטים,Acacia Trees,,,,,,,
שטן,,spiritual entity,,שטן,Satan ,,,,,,,
שטר,contract,halachic role of inanimate object,,שטר,A Contract or Deed,,,,,,,
שיבה,old age,quality,,שיבה,Old Age,,,,,,,
שיח,vegatation,group of plants,,שיח,Vegetation,,,,,,,
שיחה,conversation,process,,שיחה,Speech,,,,,,,
שילה כי יבא שילה,,geographic site,,עד כי יבא שילה,"""Until Shiloh Comes""",,,,Genesis 49:10,,,
שילה משכן,mishkan at shiloh,structure,,משכן שילה,The Tabernacle in Shiloh,,,,,,,
שילוח,shiloach pool,geographic feature,,שילוח,[The Waters of] Shiloach,,,,,,,
שים,to place,process,,שים,To Place,,,,,,,
שימוש,attending to,process,,שימוש,Service and Apprenticeship,,,,,,,
שינה,sleep,process,,שינה,Sleep,,,,,,,
שינוי השם,changing name,process,,שינוי השם,Alteration of a Name,,,,,,,
שינוי,change/difference,process,,שינוי,A Change or Variation ,,,,,,,
שיעורין,measurements,material quality,,שיעורין,[Requisite] Measurements,,,,,,,
שיער,hair,body part,,שיער,Hair,,,,,,,
שיר האזינו,haazinu song,biblical source,,שירת האזינו,Song of Haazinu ,,,,,,,
שיר המעלות,shir hamaalos/song of the steps,biblical source,,שיר המעלות,A Song (Psalm) of the Steps,Shir Hama'alot,,,,,,
שיר השירים,,biblical source,,שיר השירים,Song of Songs,,,,,,,
שיר,song/poetry,artistic process,,שיר,Lyrical Text,Shir,,,,,,
שירת הבאר,song of the well,biblical source,,שירת הבאר,Song of the Well,,,,,,,
שירת הים,song at the sea,biblical source,,שירת הים,Song at the Sea,,,,,,,
שישק,,biblical person,,שישק,,Shisak,,,,,,
שית,set in place/nakedness,process,object,שית,To Fix in Place,,,Malbim,,,,
שיתין,cistern under the altar,structure,,שיתין,Drainage Hole (under the Temple Altar),,,,,,,
שכב,sleep/lie down,process,,שכב,To Lay Down (Sometimes Referring to Sexual Relations or Death),,,,,,,y
שכבת זרע,seminal emission,process,,שכבת זרע,Semen,,,,,,,
שכבת,descent/precipitation,process,,שכבת,Descent of ,,,,,,,
שכוי,heart/rooster,bird,,שכוי,Rooster,,,,Job 38:36,,,
שכור,drunk,quality,,שכור,Drunk,,,,,,,
שכח,forget,process,,שכח,To Forget,,,,,,,
שכחה,forgotten sheaves,halachic role of inanimate object,,שכחה,Forgotten Sheaves [Left for the Poor[,,,,,,,
שכינה,divine presence/revelation,spiritual entity,,שכינה,The Divine Presence,,,,,,,
שכיר שכירות,hired work/renting,process,,שכירות,Payment Scheme to Hire Work or Use of Property ,,,,,,,
שכל בינה,mind/intelligence,object,,שכל,Intelligence or Discernment,,,,,,,
שכל שכל את ידיו,act wisely,process,,שכל את ידיו,"""Discerned with His Hands""",,,,,,,
שכם,,geographic site,biblical person,שכם,Nablus,Shechem,YES,,,,,
שכן דירה,live (in a place),process,,לשכון,To Dwell,,,,,,,
שכן,neighbor,role of person,,שכן,A Neighbor,,,,,,,
שכר ברכה,divine reward,theological tenet,,שכר,(Divine) Reward,,,,,,,
שכר יין,strong wine/liquor,food,,שכר,Strong Drink,,,,,,,
שכר שכיר,paying workers on time,halachic process,,שכיר,[The Commandment Not to Delay Paying the Wage of a] Wage-worker,,,,,,,
של נעלך,take off your shoes,phrase,process,של נעלך,"""Remove Your Shoes""",,,,,,,
של,mistake/deviation,process,,של,Error,,,Rashi,II Samuel 6:7,,,
שלא לשמה,acting for ulterior motives,quality,theology,שלא לשמה,Not for its Own Sake (for Ulterior Motives),,,,,,,
שלג,snow,weather,,שלג,Snow,,,,,,,
שלהבת,flame,fiat object part,,שלהבת,A Flame,,,,,,,
שלו,type of seabird,bird,,שלו,A Fatty Bird (that the Jews Ate in the Wilderness),,,,,,,
שלוה,tranquility,process,,שלוה,Tranquility,,,,,,,
שלוח הקן,sending away mother bird,halachic process,,שלוח הקן,[The Commandment of] Sending Away [the Mother Bird from] the Nest,,,,,,,
שלום בן תקוה,,biblical person,,שלום בן תקוה,"Shallum, the Son of Tikvah",,,,,,,
שלום,peace,process,,שלום,Peace,,,,,,,
שלומיאל,,biblical person,,שלומיאל,,Shelumiel,,,,,,
שלומית,,biblical person,,שלומית,The Shulamite (Song of Songs),,,,,,,
שלומציון,,mishnaic person,,שלומציון,,[Queen] Shlomtsion,,,,,,
שלח,send,process,,שלח,To Send,,,,,,,
שליח שליחות,agency/messenger,role of person,,שליחות,Agency,,,,,,,
שליח מצוה,agent of mitzvah,role of person,,שליח מצוה,An Emissary for a Commandment,Shaliach Mitsvah,,,,,,
שליח צבור,prayer leader/agent of the community,halachic role of person,,שליח צבור,"Prayer Leader (Lit., An Emissary of the Community)",Shaliach Tsibur,,,,,,y
שליש שלישיה,third/great,quality,,שליש,Large or Great,,,,,,,
שליש,noblemen/general/third party,occupation,,שליש,A Selected or Appointed Individual ,,,,,,,
שלל,loot,group of inanimate objects,,שלל,Loot,,,,,,,
שלמה בגד,clothing/cloak,inanimate object,,שלמה,A Cloak,,,Ha'amek Devar,,,,
שלמה חכמת,wisdom of Shlomo,quality,,חכמת שלמה,The Wisdom of Solomon,,,,,,,
שלמה כסא,throne of Shlomo,inanimate object,,כיסא שלמה,The Throne of Solomon,,,,,,,
שלמה,,biblical person,,שלמה,Solomon,Shlomo,YES,,,,,
שלמון,,biblical person,,שלמון,Salmon,Salmon,YES,,,,,
שלמות,wholeness/holism,character trait,,שלמות,Wholeness or Perfection,,,,,,,
שלתיאל,,biblical person,,שלתיאל,Salathiel,Shaltiel,,,,,,
שם בן נח,,biblical person,,שם בן נח,"Shem, the Son of Noah",,YES,,,,,
שם שינוי,changing name,process,,שינוי שם,Alteration of a Name,,,,,,,
שם שמות,name,quality,language entity,שמות,Names or Appellations,,,,,,,
שם טוב,good name/reputation,character trait,,שם טוב,A Good Name (Reputation),Shem Tov,,,,,,
שם רע,bad name/reputation,character trait,,שם רע,A Bad Name (Reputation),,,,,,,
שם,there,word,,שם,There,,,,,,,
שמא יקדמנו,exception for opportunity,halachic process,,שמא יקדמנו,"""Lest [Another] Precede Him"" (The Reasoning for the Dispensation Given to Betroth a Woman during a Time Period Otherwise Forbidden)",,,,,,,y
שמאל,left side,fiat object part,,שמאל,The Left Side,,,,,,,
שמגר,,biblical person,,שמגר,,Shamgar,YES,,,,,
שמד,persecution/destruction,process,,שמד,Religious Persecution,,,,,,,
שמואל הנביא,,biblical person,,שמואל,Samuel,Shmuel,YES,,,,,
שמונה נסיכים,the 8 leaders,group of people,theology,שמונה נסיכים,The Eight Princes (of the Jewish People),,,,Micah 5:4,,,
שמונה,eight,number,,שמונה,"The Number, Eight",,,,,,,
שמועה,rumor/teaching/announcement,process,,שמועה,"A Teaching, Report or Rumor",,,,,,,
שמוש חכמים,attending to scholars,halachic process,,שמוש חכמים,Service of (Tutelage from) Torah Scholars,,,,,,,
שמות קדושים,Divine names,divine role,,שמות קדושים,Divine Names,,,,,,,
שמות קדש הזכרה,mentioning Divine names,halachic process,,הזכרה,Mention [of a Divine Name],,,,,,,
שמות קדש מחיקה,erasing Divine names,halachic process,,מחיקת שמות,The Erasing of Divine Names,,,,,,,
שמות קדש שם א ל ואלקים,,divine role,,שם אל ואלקים,"The Name, God ",Elokim,,,,,,
שמות קדש שם אדנות,,divine role,,שם אדנות,"The Name, Lord ",Adonut,,,,,,
שמות קדש שם אהיה,,divine role,,שם אהיה,"The Name, I am",,,,,,,
שמות קדש שם הויה,,divine role,,שם הויה,The Tetragrammaton,,,,,,,
שמות קדש שם י ה,,divine role,,שם יה,,Yod-Hay,,,,,,
שמות קדש שם מקום,,divine role,,המקום,The Omnipresent,HaMakom,,,,,,
שמות קדש שם צב אות,,divine role,,שם צבאות,[The Lord of ] Hosts,,,,,,,
שמות קדש שם ש די,,divine role,,שם שדי,The Omnipotent,,,,,,,
שמחה,happiness,emotion,,שמחה,Joy,,,,,,,
שמחזאי,,spiritual entity,,שמחזאי,,Shamchazai,,,,,,
שמחת בית השואבה,celebration of water drawing,halachic process,,שמחת בית השואבה,Celebration of the Water Drawing (on Sukkot),,,,,,,
שמחת תורה,simchas torah,rabbinic holiday,,שמחת תורה,Simchat Torah,,,,,,,
שמטה,shemitah/sabbatical year,span of time,,שמטה,The Sabbatical Year,Shemitah,,,,,,
שמטת כספים,cancelling of debts during shemitah,halachic process,,שמטת כספים,The Cancelling of Monetary [Debts at the End of the Seventh Year),Shemitat Kessafim,,,,,,
שמים,sky/heavens/cosmos,geographic site,,שמים,Heavens,,,,,,,
שמיני עצרת,shemini atzeres,pilgrimage festival,,שמיני עצרת,Shemini Atzeret,,,,,,,
שמינית,8-stringed lyre/eightfold song,musical process,inanimate object,שמינית,Eight-stringed Lyre,,,Targum Yonatan,Psalms 6:1,,,
שמיר,type of animal,worm,,שמיר,A Type of Worm (Used in the Cutting of Temple Stones),,,,,,,y
שמירת הברית,keeping the covenant of physical holiness,halachic process,,שמירת הברית,Guarding the Circumcision (from Improper Acts),Shmirat HaBrit,,,,,,
שמלה,clothing,inanimate object,,שמלה,Clothing,,,,,,,
שממה,desolation,quality,,שממה,Desolation,,,,,,,
שממית,type of animal,animal,,שממית,A Type of Animal or Insect,,,,Psalms 30:28,,,
שמן המשחה,annointing oil,inanimate object,,שמן המשחה,Anointing Oil,,,,,,,
שמן,oil,inanimate object,,שמן,Oil,,,,,,,
שמע שמיעה,hearing,process,,שמיעה,Hearing,,,,,,,
שמעון,,biblical person,,שמעון,Simeon,Shimon,YES,,,,,
שמעי,,biblical person,,שמעי,,Shimei,,,,,,
שמעיה,,biblical person,,שמעיה,,Shemaiah,,,,,,
שמץ שמצה,bad reputation,quality,,שמץ,Disgrace,,,,,,,
שמר שמירה,guarding/waiting,process,,שמירה,Guarding or Keeping,,,,,,,
שמש מאורות,the sun,inanimate object,,שמש,Sun,,,,,,,
שמש שמוש,attending to,process,,שימוש,Service (Tutelage),,,,,,,
שמשון,,biblical person,,שמשון,Samson,Shimshon,YES,,,,,
שן,tooth,body part,,שן,Tooth,,,,,,,
שנאה שונא,hatred/dislike,emotion,,שנאה,hatred/dislike,,,,,,,
שנאן,angel,spiritual entity,,שנאן,Comfortable,,,R. Yose in Pesikta,Psalms 68:18,,,
שנה,year,span of time,,שנה,Year,,,,,,,
שנוי,change,process,,שנוי,Change,,,,,,,
שני,crimson,color,,שני,Crimson,,,,,,,
שנים,two,number,,שנים,"The Number, Two",,,,,,,
שנית,second,quality,,שנית,Second,,,,,,,
שנן,teach/sharpen,process,,שנן,To Drill or Recite,,,,,,,
שנער,,geographic site,,שנער,,Shinar,,,,,,
שסה,tear apart,process,,שסה,To Tear Apart,,,Malbim,,,,
שסועה,type of animal,animal,,שסועה,A Two-spined Animal or Animal Fetus,,,Niddah 24a,,,,
שסף,mutilate,process,,שסף,To Cut Open,,,,,,,
שעה זמן,time/hour/moment,span of time,,שעה,An Hour or Point in Time,,,,,,,
שעה פנה,listen/accept,process,,שעייה,Acceptance,,,Ibn Ezra,,,,
שעורה,barley,plant,,שעורה,Barley,,,,,,,
שעורים,measurements,material quality,,שעורים,[Requisite] Measurements,,,,,,,
שעטנז,shaatnez,halachic quality,,שעטנז,A Forbidden Mixture of Wool and Linen,Sha'atnez,,,,,,
שעיר שעירים,goat/harmful spiritual force,mammal,spiritual entity,שעירים,Goats or Demons ,,,,,,,
שעיר,,geographic site,,שעיר,,Seir,,,,,,
שער,gate/entrance,structure,,שער,A Gate or Entrance,,,,,,,
שערורה,object of disgust,quality,,שערורה,A Disgrace,,,,,,,
שפה שפתים,lips,body part,,שפתיים,Lips,,,,,,,
שפחה חרופה,maid arranged to be married,halachic role of person,,שפחה חרופה,A Maidservant Designated (to get Married),,,,,,,
שפחה,maid,role of person,,שפחה,A Maidservant ,,,,,,,
שפטים,punishments,process,,שפטים,Supernatural Retributions,,,Malbim,Exodus 12:12,,,
שפי,in solitude,quality,,שפי,Alone,,,Targum Onkelos,Numbers 23:3,,,
שפיים,high places/streams,geographic feature,,שפיים,Barren Heights,,,,,,,
שפיכות דמים,murder,halachic process,,שפיכות דמים,Spilling of Blood (Murder),,,,,,,
שפיפון,type of snake,reptile,,שפיפון,A Type of Snake,,,,,,,
שפל שפלות,lowliness,quality,,שפלות,Lowliness (Humility),,,,,,,
שפם,upper lip,body part,,שפם,Upper Lip,,,,,,,
שפן,,biblical person,,שפן,,Shafan,,,,,,
שפע,flow [of energy/water/blessing],process,,שפע,Bountiful Flow ,,,,,,,
שפרה ופועה,,group of people,,שפרה ופועה,,Shifrah and Puah,YES,,,,,
שק,sack,inanimate object,,שק,Sackcloth,,,,,,,
שקד,be preoccupied with,process,,שקד,To be Intensively Involved [with Something],,,,,,,
שקדים,almonds,plant,,שקדים,Almonds,,,,,,,
שקל,type of coin/weight,inanimate object,,שקל,A Standard Biblical and Talmudic Weight or Coin,,,,,,,
שקערורות,depressions,object,,שקערורות,Indentations or Depressions,,,,,,,
שקף,look down,process,,שקף,To Look Down Upon,,,,,,,
שקץ,object of aversion,quality,,שקץ,An Abomination,,,,,,,
שקק,thirst/groan,process,,שקק,To Call Out in Thirst,,,,,,,
שקר,falsehood,quality,,שקר,Falsehood,,,,,,,
שרד,fabrics for use in transporting mishkan,halachic role of inanimate object,,שרד,Fabric for Service Garments,Serad,,,,,,
שרון,,geographic site,,שרון,,Sharon,,,,,,
שרוק,type of color/combed,material quality,,שרוק,Striped,,,Malbim,,,,
שרות,cities,structure,,שרות,Plains,,,Rashi,Jeremiah 5:10,,,
שרח,,biblical person,,שרח,,Serach,,,,,,
