Topic,English description,Is A Type Of,Is a Type Of (2),According to,About Category,Is Category,About Topic,Notes
את,participle; sometimes from/with/to...,preposition,,,,,,
אתה,you,word,,,,,,
אתונה,Athens,geographic site,,,,,,
אתי הגתי,,biblical person,,,,,,
אתיק,corner,structure,,תרגום יונתן,,,,"Rashi says column, Radak has other structural terms"
אתנן,payment (for relations),inanimate object,,,,,,
אתרוג,,plant,,,,,,
ב,,letter,,,,,,
בא,come,process,,,,,,"talking about the process of ""going"""
בא בימים,become old,lifecycle process,,,,,,"talking about the process of ""getting old"" and why it's called that"
באר פרש,explain,process,,,,,,
באר בור,well/pit,structure,,,,,,
באר לחי רואי,,structure,geographic site,,,,באר   בור,
בארה,,biblical person,,,,,,seems to be a nasi from Reuven
בארי,,group of people,,,,,,seems to be talking about children of Beira
בבל,,nation/ethnicity,,,,,,
בבל חורבן,destruction of Bavel,biblical historical event,,,,,בבל,
בגד מרד,betray/rebel,process,,,,,,
בגד לבוש,clothing,inanimate object,,,,,,
באר שבע,,geographic site,,,,,,
בגדי כהונה אבנט,belt of kohen clothing,inanimate object,,,,,,
בגדי כהונה אפוד,apron of kohen gadol,inanimate object,,,,,,
בגדי כהונה בגדי שרד,fabrics for use in transporting mishkan,inanimate object,,"רש""י",,,,entry is under bigdei kehunah but isn't necessarily the same
בגדי כהונה חושן,breastplate of kohen gadol,inanimate object,,,,,,
בגדי כהונה כפרה,atonement in the kohen clothing,theological process,,,,,,
בגדי כהונה כתונת,shirt/gown of kohen clothing,inanimate object,,,,,,
בגדי כהונה מגבעת ומצנפת,hats of kohen/kohen gadol clothing,inanimate object,,,,,,
בגדי כהונה מכנסים,pants of kohen clothing,inanimate object,,,,,,
בגדי כהונה מעיל,coat of kohen gadol,inanimate object,,,,,,
בגדי כהונה ציץ,headplate of kohen gadol,inanimate object,,,,,,
בגדי כהונה,kohen clothing,inanimate object,,,,,,
בגלל,for/because,preposition,,,,,,
בגתן ותרש,,biblical person,,,,,,
בד בבד,"""each like the other""",phrase,,"רש""י",,,,"Ibn Ezra: ""each on its own"""
בד,[white] linen; thought,inanimate object,,,,,,
בדד בדידות,alone,quality,,,,,,
בדולח,precious stone/crystal,inanimate object,,,,,,
בדיחות,laughter/joke,process,,,,,,
בהו,emptiness,quality,,"רש""י",,,,
בהלה,confusion/haste,character trait,,,,,,
בהם,in them,preposition,,,,,,
בהמה,domesticated animal,mammal,,,,,,
בהמות,behemoth,mammal,,,,,,
בהן,big digit,body part,,"רד""ק",,,,subject to debate which digit/joint it is
בול,name for Marcheshvan/to decay,month,,,,,,
בולס,inspect,process,,"רש""י",,,,Radak says to mix
בולקה,"destroy, esp. a human settlement",process,,,,,,
בועז,,biblical person,,,,,,
בוקה,pillaged,quality,,תרגום יונתן,,,,
בוקק,fruitless/bare,quality,,,,,,
בור עם הארץ,unrefined person,quality,,,,,,
בור,pit,geographic feature,,,,,,
בושה בושת,embarassment,emotion,,,,,,
בזבז,loot,process,,,,,,
בזה,disgrace,process,,,,,,
בזוטוס,,person,,,,,,
בזז,loot,group of inanimate objects,,,,,,
בחור,child/adolescent,quality,,,,,,
בחירה,free will,theology,freedom,,,,,
בחן,strong/up to scrutiny,quality,,,,,,
בחר,choose,process,,,,,,
בטא,to express,process,,,,,,
בטול,nullification,process,,,,,,
בטחון,trust,process,,,,,,
בטלה,idleness,process,,,,,,
בי,"""please""",phrase,process,,,,,
ביאה,relations,process,,,,,,
ביאת מקדש,entering the Mikdash,halachic process,,,,,,
בית א ל,,geographic site,,,,,,
בית אבטינס,,structure,,,,,,
בית און,,geographic site,,,,,,
בית דין,court,halachic role,,,,,,
בית המדרש,the debate/study hall,structure,,,,,,
בית המקדש בית שני,second temple,structure,span of time,,,,,
בית המקדש בנין,building the Beis HaMikdash,halachic process,,,,,,
בית המקדש חורבן,destruction of Beis HaMikdash,biblical historical event,,,,,,
בית המקדש חנכת,inauguration of Beis HaMikdash,biblical historical event,,,,,,
בית המקדש עבודה,service of Beis HaMikdash,halachic process,,,,,,
בית המקדש,,structure,,,,,,
בית העם,gathering place,structure,,,,,,
בית חוניו,,geographic site,,,,,,
בית יעקב,,group of people,,,,,,might refer to specific minor demographics relative to בני ישראל
בית יער הלבנון,,structure,,,,,,
בית כנסת,synagogue,structure,,,,,,
בית כסא,restroom,structure,,,,,,
בית ספר,school,structure,,,,,,
בית עיר חומה,house of walled city,structure,,,,,,
בית קברות,cemetery,structure,,,,,,
בית שמאי ובית הלל,,group of people,,,,,,
בית שמש,,geographic site,,,,,,
בית,house,structure,,,,,,
ביתוסים,,group of people,,,,,,
ביתן,garden,structure,,"רש""י",,,,
ביתר,,geographic site,,,,,,
בכורים,first fruits,halachic role of inanimate object,,,,,,
בכיה,crying,process,,,,,,
בל עבודה זרה,type of idolatry,theurgy,halachic process,,,,,
בל תוסיף,not adding to mitzvos,halachic process,,,,,,
בל תשחית,not wasting,halachic process,,,,,,
בל,stalling,process,,,,,,
בלדד,,biblical person,,,,,איוב וחבריו,
בלהה,,biblical person,,,,,,
בלימה,nothing/infinitesmal entity,object,,,,,,
בליעל,exceedingly evil person,character trait,,,,,,
בלל,mix,process,,,,,,
בלע,swallow,process,,,,,,
בלעדי,without/not me,preposition,,,,,,
בלעם והאתון,Bilam and the donkey,biblical historical event,,,,,,
בלעם וישראל,,specific biblical person relationship,,,,,,
בלעם נבואה,,theological process,,,,,,
בלעם,,biblical person,,,,,,
בלק,,biblical person,,,,,,
בלשאצר,,biblical person,,,,,,
במה,altar,structure,,,,,,
בן אדם,"""son of man""",phrase,,,,,,"can be positive or negative or relative to terms like ""ben ish"""
בן אמה,"""son of [your] maidservant"" ",phrase,,,,,,
בן אשר,,person,,,,,,the grammarian
בן הדד,,biblical person,,,,,,
בן זקונים,son born in older age,family role,,,,,,
בן נח קרבן,noahide korbanos,halachic role of inanimate object,,,,,,
בן נח,noahide,quality,,,,,,
בן סורר ומורה,wayward son,halachic role of person,family role,,,,,
בן סטדא,,mishnaic person,,,,,,sorcerer; could have been before mishnaic times; sometimes identified as Ben Pandira and Yeshu HaNotzri
בן סירא,,mishnaic person,,,,,,
בן עשרים,20 years old,quality,,,,,,milestone to be judged in shamayim
בן ציצית הכסת,,mishnaic person,,,,,,
בן תמליון,,mishnaic person,,,,,,
בן,son,family role,,,,,,
בנה בנין,build,process,,,,,,
בנות צלפחד,,group of people,,,,,,
בני האלהים,nobility,group of people,,תרגום אונקלוס,,,,"also translated as angels, holy people, and star systems"
בני קדם,,group of people,,,,,,
בני רשף,flying/burning entity,spiritual entity,,,,,,
בניהו,,biblical person,,,,,,
בנימין הצדיק,,mishnaic person,,,,,,
בנימין,,biblical person,,,,,,
בעבור,for/because,preposition,,,,,,
בעד,facing,preposition,,,,,,
בעוד,while,word,,,,,,
בעל אוב,type of sorcerer,role of person,,,,,,
בעל מום,unfit/disqualified,quality,,,,,,
בעל מלאכה,working person,occupation,,,,,,
בעל צפון,type of idolatry,theurgy,,,,,,
בעל קרי,person who has emission,halachic role of person,,,,,,
בעל,master,role of person,,,,,,"also refers to husband, idolatry, or generically ""a person of"""
בעלי חיים,animals,living creature,,,,animal,,
בעלי משכונות,people who take collateral,role of person,,,,,,
בעצם היום,this very day,phrase,moment in time,,,,,
בער כסיל,fool,character trait,,,,,,
בער שרף,to burn/consume,process,,,,,,
בעשא,,biblical person,,,,,,
בצורת,famine,process,,,,,,
בצלאל ואהליאב,,group of people,,,,,,
בצע,gain/split,process,,,,,,
בצק,dough,inanimate object,,,,,,
בצרה,,geographic site,,,,,,
בקור חולים,taking care of sick,halachic process,,,,,,
בקיאות,expertise/encyclopedic knowledge,knowledge,,,,,,
בקעת דורא,,geographic site,,,,,,
בקק,to empty,process,,"רש""י",,,,
בקר בעלי חיים,cattle,mammal,,,,,,
בקר יבקש,seek/investigate,process,,,,,,
בקר שחר,morning,part of a day,,,,,,
בקרב,within/among,preposition,,,,,,
בקש בקשה,request,process,,,,,,
בר דרומא,,talmudic person,,,,,,
בר כוכבא,,mishnaic person,,,,,,
בר מצוה,,halachic role of person,,,,,,
בר,edible part of grain,food,plant,,,,,
ברא,create,process,,,,,,
בראשית,,theology,,,,,,
ברוך בן נריה,,biblical person,,,,,,
ברוך שם כבוד מלכותו,,phrase,,,,,,
ברוך,blessed,quality,,,,,,
ברוריה,,mishnaic person,,,,,,
ברזילי הגלעדי,,biblical person,,,,,,
ברזל,iron,material quality,,,,,,
ברח,run away,process,,,,,,
בריאה אדם,creation of man,theological process,,,,,,
בריאה אור מאורות,creation of light/celestial bodies,theological process,,,,,,
בריאה ארץ,creation of earth,theological process,,,,,,
בריאה בין השמשות,creations during twilight ,theological process,,,,,,
בריאה בעלי חיים,creation of animals,theological process,,,,,,
בריאה יום א,creation day 1,theological process,,,,,,
בריאה יום ב,creation day 2,theological process,,,,,,
בריאה יום ג,creation day 3,theological process,,,,,,
בריאה כי טוב,"creation being ""good""",theological process,,,,,,
בריאה מאורות,creation of luminaries,theological process,,,,,,
בריאה מאמר,creation with speech,theological process,,,,,,
בריאה מים,creation water,theological process,,,,,,
בריאה מלאכים,creation angels,theological process,,,,,,
בריאה עץ ועשב,creation of plants,theological process,,,,,,
בריאה קודם לעולם,creation before creation,theological process,,,,,,
בריאה שבת,creation of Shabbos,theological process,,,,,,
בריאה שמים וארץ רקיע,"creation of heavens, earth, and rakia ",theological process,,,,,,
בריאה תכלית,purpose/function of creation ,theological process,,,,,,
בריאה,Creation,theological process,theological tenet,,,,,
בריאות,health,quality,,,,,,
ברית אבות,covenant of avos,biblical historical event,covenant,,,,,
ברית בין הבתרים,covenant between the pieces,biblical historical event,covenant,,,,,
ברית ישראל,covenant with Israel,covenant,,,,,,
ברית כהונה,covenant of kehunah,covenant,,,,,,
ברית לעתיד לבא,future covenant with Israel,covenant,,,,,,
ברית נח,covenant with Noach,biblical historical event,covenant,,,,,
ברית,covenant,process,relationship,,,covenant,,
ברכה,blessing/plenty,quality,,,,,,
ברכות הנהנין,blessings on benefit,halachic process,,,,,ברכות,
ברכות חתנים,blessings for wedding,halachic process,,,,,ברכות,
ברכות,halachic blessing,halachic process,,,,,ברכות,
ברכת הגומל,blessing on being saved,halachic process,,,,,ברכות,
ברכת המזון,blessing after meal,halachic process,,,,,ברכות,
ברכת המצות,blessing on mitzvos,halachic process,,,,,ברכות,
ברכת הפטרה,blessing on haftarah,halachic process,,,,,ברכות,
ברכת התורה,blessing on Torah,halachic process,,,,,ברכות,
ברכת כהנים,kohen blessing,halachic process,,,,,ברכות,
ברכת הלבנה,blessing on new moon,halachic process,,,,,ברכות,
בשש בושה,embarassed,emotion,character trait,,,,,
בשש עכוב,to delay/be late,process,,,,,,
בת יענה,non-kosher animal,bird,,,,,,
בת קול,Divine voice/echo,spiritual entity,,,,,,
בת שבע,,biblical person,,,,,,
בת,daughter,family law,,,,,,
בתואל,,biblical person,,,,,,
בתוך,within,preposition,,,,,,
בתולה בתולים,virgin,quality,,,,,,
בתיה,,biblical person,,,,,,
ג,,letter,,,,,,
גאוה,arrogance,character trait,,,,,,
גאולה,redemption,process,,,,,,this one is tricky. could also be considered a theological idea. this seems to be talking about the actual process of redemption as opposed to the idea of being redeemed
גאולה זמן,timing of the geulah,moment in time,theology,,,,,
גבאי,overseer,role of person,,,,,,
גבול,border,continuant fiat boundary,,,,,,
גבורה,,character trait,,,,,,hidden in entry above
גביע,goblet,inanimate object,,,,,,
גביעא בן פסיסא,,mishnaic person,,,,,,unclear
גבעה,hill,geographic feature,,,,,,
גבעונים,,nation/ethnicity,,,,,,
גבר,man,material quality,,,,,,"could also be ""overcome"""
גבריאל,,spiritual entity,,,,,,
גד כזרע גד,coriander,plant,,"רש""י",,,,
גד מזל,constellation/spiritual force,spiritual entity,,"רש""י",,,מזל,
גד החוזה,,biblical person,,,,,,
גד וראובן,,group of people,,,,,,
גד,,biblical person,,,,,,"etymologically identified with cutting, military, and drawing forth"
גדול גדולה,greatness,quality,,,,,,
גדי,kid,mammal,,,,,,
גדיל,braid/twist,inanimate object,,,,,,
גדליה,,biblical person,,,,,,
גדעון,,biblical person,,,,,,
גדרים,safeguard,meta halacha,,,,,,
גהה,remove or radiate,process,,,,,,
גואל הדם,redeemer of murder,halachic role of person,,,,,,
גואל,redeemer,theology,,,,,,
גוג ומגוג,,group of people,theology,,,,,
גוזל,young dove/squab ,bird,,,,,,
גוי,nation,group of people,,,,,,
גוע,immediate death,lifecycle process,,,,,,
גוף,body,body part,,,,,,
גורל,lottery,process,,,,,,
גושן,,geographic site,,,,,,
גזית,hewn stone,inanimate object,,,,,,
גזל גזלן,steal/thief,halachic process,,,,,,
גזר דין גזירה,decree/verdict,disposition,,,,,,
גזרה שוה,exegesis based on word-matching,meta halacha,,,,,,"unless there's a separate category for rules of exegesis, ""source"" can include sources of drash"
גזרות שמד,religious persecution/killings,process,,,,,,
גחזי,,biblical person,,,,,,
גט,[divorce] document,halachic role of inanimate object,,,,,,"probably applies to ""get shichrur"" for a servant too"
גטו,ghetto,structure,,,,,,
גיד הנשה,sciatic nerve,body part,,,,,,
גיהנם,hell,spiritual site,geographic site,,,,,"there's also the geographical site ""gei ben hinom"""
גיחון,,geographic site,,,,,,
גיל,type of joy,emotion,,,,,,
גימטריא,,meta halacha,,,,,,"see ""gzeirah shavah"""
גל,spring of water,geographic feature,,"רש""י",,,,"other contexts include pile, wave, and revealing"
